date,feature_index,CH4
2025-12-01T00:00:00.000Z,0,
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
2026-05-02T00:00:00.000Z,0,
2026-04-26T00:00:00.000Z,0,1876.33447265625
2026-04-25T00:00:00.000Z,0,1855.7583923339844
2026-05-01T00:00:00.000Z,0,
2026-04-27T00:00:00.000Z,0,
2026-04-29T00:00:00.000Z,0,
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,
2026-08-23T00:00:00.000Z,0,1863.4329541015625
2025-09-08T00:00:00.000Z,0,
2025-09-10T00:00:00.000Z,0,
2025-09-12T00:00:00.000Z,0,
2025-09-11T00:00:00.000Z,0,
2025-09-06T00:00:00.000Z,0,
2025-09-07T00:00:00.000Z,0,
2025-09-09T00:00:00.000Z,0,
2025-09-05T00:00:00.000Z,0,
2026-03-19T00:00:00.000Z,0,
2026-03-16T00:00:00.000Z,0,
2026-03-21T00:00:00.000Z,0,
2026-03-22T00:00:00.000Z,0,
2026-03-23T00:00:00.000Z,0,
2026-03-20T00:00:00.000Z,0,
2026-03-17T00:00:00.000Z,0,
2026-03-18T00:00:00.000Z,0,
2026-07-28T00:00:00.000Z,0,
2026-07-24T00:00:00.000Z,0,
2026-07-25T00:00:00.000Z,0,1890.747200012207
2026-07-26T00:00:00.000Z,0,1902.9850148168102
2026-07-22T00:00:00.000Z,0,
2026-07-29T00:00:00.000Z,0,
2026-07-23T00:00:00.000Z,0,
2026-07-27T00:00:00.000Z,0,
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,
2026-01-13T00:00:00.000Z,0,
2026-01-16T00:00:00.000Z,0,
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
2026-02-14T00:00:00.000Z,0,
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,
